K,C,X,Y,R,S,PE,ref_EDP
32,3,224,224,3,3,13,48266.426
32,3,224,224,3,3,96,7174.7390000000005
32,3,224,224,3,3,107,7174.552
32,3,224,224,3,3,181,7174.552
32,3,224,224,3,3,248,7174.552
32,3,224,224,3,3,252,7174.552
32,3,224,224,3,3,342,7174.552
32,3,224,224,3,3,397,7174.552
32,3,224,224,3,3,433,7174.552
32,3,224,224,3,3,480,7174.552
1,32,112,112,3,3,27,34412.600000000006
1,32,112,112,3,3,95,18926.93
1,32,112,112,3,3,125,18926.93
1,32,112,112,3,3,159,18926.93
1,32,112,112,3,3,202,18926.93
1,32,112,112,3,3,274,18926.93
1,32,112,112,3,3,312,18926.93
1,32,112,112,3,3,396,18926.93
1,32,112,112,3,3,435,18926.93
1,32,112,112,3,3,491,18926.93
8,32,1,1,1,1,25,32.4961
8,32,1,1,1,1,55,19.92904
8,32,1,1,1,1,114,12.47705
8,32,1,1,1,1,178,9.96452
8,32,1,1,1,1,217,9.96452
8,32,1,1,1,1,276,7.499099999999999
8,32,1,1,1,1,313,7.486230000000001
8,32,1,1,1,1,389,7.486230000000001
8,32,1,1,1,1,428,7.486230000000001
8,32,1,1,1,1,464,7.486230000000001
32,8,1,1,1,1,46,19.17576
32,8,1,1,1,1,85,14.35614
32,8,1,1,1,1,132,9.57076
32,8,1,1,1,1,179,9.57076
32,8,1,1,1,1,208,9.57076
32,8,1,1,1,1,261,7.190910000000001
32,8,1,1,1,1,327,7.17807
32,8,1,1,1,1,391,7.17807
32,8,1,1,1,1,445,7.17807
32,8,1,1,1,1,451,7.17807
16,32,112,112,1,1,12,2342374807.5
16,32,112,112,1,1,92,308214679.5
16,32,112,112,1,1,138,211354211.25
16,32,112,112,1,1,196,140902807.5
16,32,112,112,1,1,212,138731433.75
16,32,112,112,1,1,272,105700754.25
16,32,112,112,1,1,333,88084678.5
16,32,112,112,1,1,353,83668835.25
16,32,112,112,1,1,422,69389365.5
16,32,112,112,1,1,484,60880008.28000001
96,16,112,112,1,1,25,5188431805.52
96,16,112,112,1,1,95,1444339396.5
96,16,112,112,1,1,118,1183473479.8200002
96,16,112,112,1,1,170,741216238.2
96,16,112,112,1,1,223,641826711.14
96,16,112,112,1,1,258,518262106.84
96,16,112,112,1,1,348,370610273.36
96,16,112,112,1,1,385,345512661.71999997
96,16,112,112,1,1,432,320916798.44
96,16,112,112,1,1,479,294130142.52000004
4,96,1,1,1,1,47,49.514520000000005
4,96,1,1,1,1,96,24.757260000000002
4,96,1,1,1,1,108,24.757260000000002
4,96,1,1,1,1,191,20.60965
4,96,1,1,1,1,231,16.50484
4,96,1,1,1,1,290,16.4706
4,96,1,1,1,1,316,16.48772
4,96,1,1,1,1,385,12.378630000000001
4,96,1,1,1,1,404,12.378630000000001
4,96,1,1,1,1,480,12.378630000000001
96,4,1,1,1,1,43,44.78904
96,4,1,1,1,1,54,36.8106
96,4,1,1,1,1,107,22.36884
96,4,1,1,1,1,166,18.6621
96,4,1,1,1,1,244,14.91256
96,4,1,1,1,1,299,14.91256
96,4,1,1,1,1,345,14.91256
96,4,1,1,1,1,392,11.18442
96,4,1,1,1,1,422,11.18442
96,4,1,1,1,1,451,11.18442
24,96,56,56,1,1,30,732349646.1999999
24,96,56,56,1,1,72,292952118.7
24,96,56,56,1,1,121,183091790.2
24,96,56,56,1,1,162,141246491.7
24,96,56,56,1,1,211,107806062.07000001
24,96,56,56,1,1,254,86472339.19000001
24,96,56,56,1,1,341,62778164.6
24,96,56,56,1,1,376,62415676.56
24,96,56,56,1,1,449,47085083.0
24,96,56,56,1,1,474,46784234.32
144,24,56,56,1,1,36,740759095.0999999
144,24,56,56,1,1,100,288305365.57
144,24,56,56,1,1,109,246923525.85
144,24,56,56,1,1,168,158826888.75
144,24,56,56,1,1,205,140157746.46
144,24,56,56,1,1,271,108120051.56
144,24,56,56,1,1,345,83946109.05
144,24,56,56,1,1,353,81765202.46
144,24,56,56,1,1,437,65075684.34
144,24,56,56,1,1,499,62965435.77
1,144,56,56,3,3,41,73873.14
1,144,56,56,3,3,83,38880.6
1,144,56,56,3,3,129,38880.6
1,144,56,56,3,3,177,21384.329999999998
1,144,56,56,3,3,203,21384.329999999998
1,144,56,56,3,3,281,21384.329999999998
1,144,56,56,3,3,350,21384.329999999998
1,144,56,56,3,3,397,21384.329999999998
1,144,56,56,3,3,407,21384.329999999998
1,144,56,56,3,3,471,21384.329999999998
6,144,1,1,1,1,40,225.02401999999998
6,144,1,1,1,1,76,121.16677999999999
6,144,1,1,1,1,140,86.50489999999999
6,144,1,1,1,1,162,69.23816
6,144,1,1,1,1,218,51.928619999999995
6,144,1,1,1,1,265,51.928619999999995
6,144,1,1,1,1,321,43.273849999999996
6,144,1,1,1,1,385,43.273849999999996
6,144,1,1,1,1,401,43.273849999999996
6,144,1,1,1,1,485,34.61908
144,6,1,1,1,1,33,241.92270000000002
144,6,1,1,1,1,82,111.81856
144,6,1,1,1,1,142,72.57681
144,6,1,1,1,1,161,63.9648
144,6,1,1,1,1,236,56.44863
144,6,1,1,1,1,278,48.38454
144,6,1,1,1,1,327,40.29899999999999
144,6,1,1,1,1,352,40.29899999999999
144,6,1,1,1,1,414,40.29899999999999
144,6,1,1,1,1,469,32.2392
24,144,56,56,1,1,46,1058116614.31
24,144,56,56,1,1,74,634870812.0999999
24,144,56,56,1,1,114,405241106.49
24,144,56,56,1,1,172,272092310.97999996
24,144,56,56,1,1,216,211629227.45999998
24,144,56,56,1,1,270,181410338.41
24,144,56,56,1,1,345,135105493.04999998
24,144,56,56,1,1,357,135105493.04999998
24,144,56,56,1,1,406,116615810.49999999
24,144,56,56,1,1,488,101338541.37
1,144,56,56,5,5,14,543972.6
1,144,56,56,5,5,56,151212.6
1,144,56,56,5,5,101,102117.59999999999
1,144,56,56,5,5,158,53022.6
1,144,56,56,5,5,221,53022.6
1,144,56,56,5,5,284,53022.6
1,144,56,56,5,5,341,53022.6
1,144,56,56,5,5,375,53022.6
1,144,56,56,5,5,409,53022.6
1,144,56,56,5,5,489,53022.6
40,144,28,28,1,1,22,247298300.0
40,144,28,28,1,1,75,72130300.0
40,144,28,28,1,1,104,52298863.65
40,144,28,28,1,1,190,28853500.0
40,144,28,28,1,1,202,26498300.0
40,144,28,28,1,1,265,20342499.15
40,144,28,28,1,1,336,15426809.94
40,144,28,28,1,1,382,14386892.080000002
40,144,28,28,1,1,448,11594300.0
40,144,28,28,1,1,478,11457035.149999999
240,40,28,28,1,1,10,870069204.84
240,40,28,28,1,1,57,155371400.04
240,40,28,28,1,1,140,62149947.24
240,40,28,28,1,1,182,47250552.426
240,40,28,28,1,1,227,38844584.04
240,40,28,28,1,1,289,31032391.049999997
240,40,28,28,1,1,338,25898316.06
240,40,28,28,1,1,381,23311143.3
240,40,28,28,1,1,403,21753984.36
240,40,28,28,1,1,463,19426916.1
1,240,28,28,5,5,16,323018.501
1,240,28,28,5,5,51,108815.251
1,240,28,28,5,5,136,44554.276
1,240,28,28,5,5,157,44554.276
1,240,28,28,5,5,202,44554.276
1,240,28,28,5,5,283,23133.951
1,240,28,28,5,5,349,23133.951
1,240,28,28,5,5,367,23133.951
1,240,28,28,5,5,418,23133.951
1,240,28,28,5,5,460,23133.951
10,240,1,1,1,1,43,1403.8536000000001
10,240,1,1,1,1,76,769.8552000000001
10,240,1,1,1,1,138,498.047
10,240,1,1,1,1,196,339.642
10,240,1,1,1,1,229,294.3564
10,240,1,1,1,1,265,271.66200000000003
10,240,1,1,1,1,312,271.66200000000003
10,240,1,1,1,1,361,203.7852
10,240,1,1,1,1,434,181.1424
10,240,1,1,1,1,451,203.7852
240,10,1,1,1,1,47,1334.8538
240,10,1,1,1,1,82,693.0656
240,10,1,1,1,1,120,476.4826
240,10,1,1,1,1,199,324.8745
240,10,1,1,1,1,250,259.848
240,10,1,1,1,1,295,258.35880000000003
240,10,1,1,1,1,350,232.5917
240,10,1,1,1,1,366,238.2413
240,10,1,1,1,1,403,194.9247
240,10,1,1,1,1,487,151.578
40,240,28,28,1,1,21,654861382.34
40,240,28,28,1,1,78,183363818.18
40,240,28,28,1,1,142,98232313.54
40,240,28,28,1,1,166,85953731.14
40,240,28,28,1,1,245,57224584.56
40,240,28,28,1,1,280,49117983.940000005
40,240,28,28,1,1,322,42978692.74
40,240,28,28,1,1,399,35085318.34
40,240,28,28,1,1,435,32746540.740000002
40,240,28,28,1,1,455,30701937.51
1,240,28,28,3,3,38,53552.785
1,240,28,28,3,3,67,31307.782
1,240,28,28,3,3,138,16477.78
1,240,28,28,3,3,166,16477.78
1,240,28,28,3,3,245,9062.779
1,240,28,28,3,3,295,9062.779
1,240,28,28,3,3,324,9062.779
1,240,28,28,3,3,387,9062.779
1,240,28,28,3,3,434,9062.779
1,240,28,28,3,3,482,9062.779
80,240,14,14,1,1,37,62719167.01499999
80,240,14,14,1,1,71,34094193.778
80,240,14,14,1,1,110,22729885.298
80,240,14,14,1,1,159,15629729.173999999
80,240,14,14,1,1,216,11365576.818
80,240,14,14,1,1,276,9159852.06
80,240,14,14,1,1,302,8473837.74
80,240,14,14,1,1,394,6394960.1959999995
80,240,14,14,1,1,425,5959635.300000001
80,240,14,14,1,1,484,4970501.25
480,80,14,14,1,1,18,366482468.57600003
480,80,14,14,1,1,81,81273649.034
480,80,14,14,1,1,130,50234419.088
480,80,14,14,1,1,191,34888588.644
480,80,14,14,1,1,207,32577796.832000002
480,80,14,14,1,1,269,25219788.832000002
480,80,14,14,1,1,323,20361772.256
480,80,14,14,1,1,391,16969297.744
480,80,14,14,1,1,415,16289764.064000001
480,80,14,14,1,1,486,13561934.738
1,480,14,14,3,3,48,40451.48
1,480,14,14,3,3,80,24622.64
1,480,14,14,3,3,111,20665.43
1,480,14,14,3,3,180,12751.01
1,480,14,14,3,3,209,12751.01
1,480,14,14,3,3,276,8793.8
1,480,14,14,3,3,335,8793.8
1,480,14,14,3,3,376,8793.8
1,480,14,14,3,3,447,8793.8
1,480,14,14,3,3,496,4836.59
20,480,1,1,1,1,35,24012.666999999998
20,480,1,1,1,1,78,11228.945
20,480,1,1,1,1,111,8135.483800000001
20,480,1,1,1,1,156,5700.848999999999
20,480,1,1,1,1,227,4063.7187000000004
20,480,1,1,1,1,280,3195.9305
20,480,1,1,1,1,349,2764.048
20,480,1,1,1,1,356,2677.6715
20,480,1,1,1,1,401,2245.7889999999998
20,480,1,1,1,1,490,1900.283
480,20,1,1,1,1,14,58409.99
480,20,1,1,1,1,83,10297.715
480,20,1,1,1,1,148,5655.3025
480,20,1,1,1,1,192,4582.491300000001
480,20,1,1,1,1,240,3545.115
480,20,1,1,1,1,253,3540.8016
480,20,1,1,1,1,336,2701.04
480,20,1,1,1,1,383,2363.41
480,20,1,1,1,1,448,2191.9248
480,20,1,1,1,1,500,1856.8704
80,480,14,14,1,1,30,301364476.04
80,480,14,14,1,1,56,161446370.44
80,480,14,14,1,1,110,82878173.9
80,480,14,14,1,1,188,50860856.02
80,480,14,14,1,1,229,40364595.660000004
80,480,14,14,1,1,257,35319471.660000004
80,480,14,14,1,1,301,30139811.02
80,480,14,14,1,1,375,26372785.1
80,480,14,14,1,1,425,22323964.52
80,480,14,14,1,1,481,18831254.15
1,480,14,14,5,5,36,177931.072
1,480,14,14,5,5,78,89471.022
1,480,14,14,5,5,101,64196.722
1,480,14,14,5,5,152,51559.572
1,480,14,14,5,5,223,38922.422
1,480,14,14,5,5,287,26285.272
1,480,14,14,5,5,306,26285.272
1,480,14,14,5,5,365,26285.272
1,480,14,14,5,5,419,26285.272
1,480,14,14,5,5,475,26285.272
112,480,14,14,1,1,35,409306414.47999996
112,480,14,14,1,1,91,157772859.32
112,480,14,14,1,1,102,146182610.32
112,480,14,14,1,1,166,89537902.47999999
112,480,14,14,1,1,206,73094024.28
112,480,14,14,1,1,276,52231576.08
112,480,14,14,1,1,307,47967995.92
112,480,14,14,1,1,400,36547691.92
112,480,14,14,1,1,421,34111360.4
112,480,14,14,1,1,477,31444744.21
28,672,1,1,1,1,41,79801.622
28,672,1,1,1,1,55,58766.048
28,672,1,1,1,1,130,26898.108999999997
28,672,1,1,1,1,180,18868.28
28,672,1,1,1,1,221,16194.053000000002
28,672,1,1,1,1,281,12020.328000000001
28,672,1,1,1,1,334,10684.48
28,672,1,1,1,1,380,9182.195000000002
28,672,1,1,1,1,424,8347.45
28,672,1,1,1,1,463,7345.756
672,28,1,1,1,1,23,138249.66400000002
672,28,1,1,1,1,59,55253.935
672,28,1,1,1,1,128,24464.608
672,28,1,1,1,1,198,16539.831
672,28,1,1,1,1,206,16090.816
672,28,1,1,1,1,279,12478.592
672,28,1,1,1,1,321,10827.630000000001
672,28,1,1,1,1,390,9358.944
672,28,1,1,1,1,403,8209.6
672,28,1,1,1,1,467,7224.448
192,672,7,7,1,1,47,201335934.96
192,672,7,7,1,1,70,130389991.92
192,672,7,7,1,1,144,62639812.080000006
192,672,7,7,1,1,196,46030403.52
192,672,7,7,1,1,209,44744964.84
192,672,7,7,1,1,288,31321332.720000003
192,672,7,7,1,1,302,31321332.720000003
192,672,7,7,1,1,361,25457677.92
192,672,7,7,1,1,412,23012348.400000002
192,672,7,7,1,1,452,20136161.52
1152,192,7,7,1,1,41,604496467.0799999
1152,192,7,7,1,1,90,270983619.71999997
1152,192,7,7,1,1,128,187605407.88
1152,192,7,7,1,1,191,128142598.32
1152,192,7,7,1,1,242,101322518.22
1152,192,7,7,1,1,275,89338229.64
1152,192,7,7,1,1,321,77427056.52
1152,192,7,7,1,1,361,67775815.8
1152,192,7,7,1,1,401,61337224.08
1152,192,7,7,1,1,475,52129107.36
1,1152,7,7,5,5,49,293913.256
1,1152,7,7,5,5,76,196267.65600000002
1,1152,7,7,5,5,137,110827.75600000001
1,1152,7,7,5,5,196,74210.656
1,1152,7,7,5,5,210,74210.656
1,1152,7,7,5,5,264,62004.956
1,1152,7,7,5,5,310,49799.256
1,1152,7,7,5,5,366,49799.256
1,1152,7,7,5,5,401,37593.556000000004
1,1152,7,7,5,5,473,37593.556000000004
48,1152,1,1,1,1,24,1114798.804
48,1152,1,1,1,1,53,511956.606
48,1152,1,1,1,1,103,263954.96400000004
48,1152,1,1,1,1,194,140195.86000000002
48,1152,1,1,1,1,227,124725.97200000001
48,1152,1,1,1,1,253,112639.19
48,1152,1,1,1,1,330,85301.39199999999
48,1152,1,1,1,1,372,75899.138
48,1152,1,1,1,1,436,63356.84
48,1152,1,1,1,1,472,58978.948000000004
1152,48,1,1,1,1,35,759232.474
1152,48,1,1,1,1,58,460518.058
1152,48,1,1,1,1,103,275744.697
1152,48,1,1,1,1,196,138825.61000000002
1152,48,1,1,1,1,228,119677.25
1152,48,1,1,1,1,266,104358.562
1152,48,1,1,1,1,310,91362.777
1152,48,1,1,1,1,379,77550.85800000001
1152,48,1,1,1,1,438,62232.17
1152,48,1,1,1,1,478,62048.517
192,1152,7,7,1,1,17,1546246889.62
192,1152,7,7,1,1,67,404774673.61
192,1152,7,7,1,1,145,181915664.01999998
192,1152,7,7,1,1,189,139686364.17999998
192,1152,7,7,1,1,210,125143455.68999998
192,1152,7,7,1,1,280,94211073.63
192,1152,7,7,1,1,311,89244552.54
192,1152,7,7,1,1,369,73906108.66
192,1152,7,7,1,1,447,60641777.3
192,1152,7,7,1,1,499,55235015.41
1,1152,7,7,3,3,43,80945.06
1,1152,7,7,3,3,54,66077.59999999999
1,1152,7,7,3,3,118,30395.695999999996
1,1152,7,7,3,3,156,24448.712
1,1152,7,7,3,3,212,18501.728
1,1152,7,7,3,3,283,15528.235999999999
1,1152,7,7,3,3,312,12554.743999999999
1,1152,7,7,3,3,396,9581.251999999999
1,1152,7,7,3,3,433,9581.251999999999
1,1152,7,7,3,3,499,9581.251999999999
320,1152,7,7,1,1,13,5171971994.639999
320,1152,7,7,1,1,54,1243603390.48
320,1152,7,7,1,1,119,564523610.64
320,1152,7,7,1,1,161,418413535.76
320,1152,7,7,1,1,206,339984624.32
320,1152,7,7,1,1,265,255722280.0
320,1152,7,7,1,1,334,203402983.96
320,1152,7,7,1,1,363,185965689.35999998
320,1152,7,7,1,1,405,167816819.72
320,1152,7,7,1,1,474,145287316.24
1280,320,7,7,1,1,44,1792882028.6200001
1280,320,7,7,1,1,88,896444923.4200001
1280,320,7,7,1,1,136,582308843.82
1280,320,7,7,1,1,182,437828138.22
1280,320,7,7,1,1,204,389491993.07
1280,320,7,7,1,1,259,306482042.22
1280,320,7,7,1,1,314,257446166.38
1280,320,7,7,1,1,397,199262973.14000002
1280,320,7,7,1,1,441,183892352.62
1280,320,7,7,1,1,464,171684202.09
1000,1280,1,1,1,1,16,877845945.5999999
1000,1280,1,1,1,1,65,216603075.20000002
1000,1280,1,1,1,1,106,133514467.3
1000,1280,1,1,1,1,176,80824387.3
1000,1280,1,1,1,1,216,65858745.599999994
1000,1280,1,1,1,1,256,54885945.599999994
1000,1280,1,1,1,1,339,42157497.599999994
1000,1280,1,1,1,1,363,39427318.4
1000,1280,1,1,1,1,420,33741360.0
1000,1280,1,1,1,1,481,30043526.4
64,32,112,112,1,1,11,16594509514.0
64,32,112,112,1,1,74,2568209548.56
64,32,112,112,1,1,134,1176200945.07
64,32,112,112,1,1,153,1185334904.08
64,32,112,112,1,1,240,784556964.9
64,32,112,112,1,1,294,642145403.76
64,32,112,112,1,1,304,592688122.4
64,32,112,112,1,1,377,493925142.32
64,32,112,112,1,1,404,451571574.68
64,32,112,112,1,1,489,392062424.07
64,64,112,112,3,3,21,7036818.75
64,64,112,112,3,3,66,2169205.1
64,64,112,112,3,3,107,1375190.0999999999
64,64,112,112,3,3,183,860181.25
64,64,112,112,3,3,234,716817.27
64,64,112,112,3,3,290,547930.7
64,64,112,112,3,3,331,493361.72
64,64,112,112,3,3,356,420332.63999999996
64,64,112,112,3,3,404,431716.89999999997
64,64,112,112,3,3,493,360285.12
8,64,1,1,1,1,24,119.1636
8,64,1,1,1,1,54,59.5818
8,64,1,1,1,1,113,34.75605
8,64,1,1,1,1,187,24.825750000000003
8,64,1,1,1,1,235,24.825750000000003
8,64,1,1,1,1,269,19.8606
8,64,1,1,1,1,343,19.84348
8,64,1,1,1,1,378,19.84348
8,64,1,1,1,1,434,19.82636
8,64,1,1,1,1,467,19.82636
64,8,1,1,1,1,17,160.6653
64,8,1,1,1,1,51,61.43085000000001
64,8,1,1,1,1,125,33.07815
64,8,1,1,1,1,167,28.327019999999997
64,8,1,1,1,1,233,23.60585
64,8,1,1,1,1,296,18.88468
64,8,1,1,1,1,310,18.88468
64,8,1,1,1,1,360,18.88468
64,8,1,1,1,1,443,18.88468
64,8,1,1,1,1,455,18.88468
64,64,56,56,1,1,26,1213849817.85
64,64,56,56,1,1,61,595887976.26
64,64,56,56,1,1,143,243430536.36
64,64,56,56,1,1,187,196615866.48000002
64,64,56,56,1,1,243,147476267.4
64,64,56,56,1,1,278,128409235.68
64,64,56,56,1,1,332,105958121.06
64,64,56,56,1,1,370,96725642.36
64,64,56,56,1,1,442,84647069.56
64,64,56,56,1,1,457,74522310.5
128,64,56,56,1,1,32,2815017091.56
128,64,56,56,1,1,59,1601867390.24
128,64,56,56,1,1,142,653533572.44
128,64,56,56,1,1,154,603230471.12
128,64,56,56,1,1,217,439852337.64
128,64,56,56,1,1,270,300555185.0
128,64,56,56,1,1,329,300585536.72
128,64,56,56,1,1,396,229807260.38
128,64,56,56,1,1,401,229803753.96
