K,C,X,Y,R,S
96,32,7,7,1,1
128,32,7,7,1,1
160,32,7,7,1,1
192,32,7,7,1,1
168,56,7,7,1,1
224,56,7,7,1,1
280,56,7,7,1,1
336,56,7,7,1,1
336,112,7,7,1,1
448,112,7,7,1,1
560,112,7,7,1,1
672,112,7,7,1,1
384,128,7,7,1,1
512,128,7,7,1,1
640,128,7,7,1,1
768,128,7,7,1,1
768,256,7,7,1,1
1024,256,7,7,1,1
1280,256,7,7,1,1
1536,256,7,7,1,1
96,32,14,14,1,1
128,32,14,14,1,1
160,32,14,14,1,1
192,32,14,14,1,1
168,56,14,14,1,1
224,56,14,14,1,1
280,56,14,14,1,1
336,56,14,14,1,1
336,112,14,14,1,1
448,112,14,14,1,1
560,112,14,14,1,1
672,112,14,14,1,1
384,128,14,14,1,1
512,128,14,14,1,1
640,128,14,14,1,1
768,128,14,14,1,1
768,256,14,14,1,1
1024,256,14,14,1,1
1280,256,14,14,1,1
1536,256,14,14,1,1
96,32,28,28,1,1
128,32,28,28,1,1
160,32,28,28,1,1
192,32,28,28,1,1
168,56,28,28,1,1
224,56,28,28,1,1
280,56,28,28,1,1
336,56,28,28,1,1
336,112,28,28,1,1
448,112,28,28,1,1
560,112,28,28,1,1
672,112,28,28,1,1
384,128,28,28,1,1
512,128,28,28,1,1
640,128,28,28,1,1
768,128,28,28,1,1
768,256,28,28,1,1
1024,256,28,28,1,1
1280,256,28,28,1,1
1536,256,28,28,1,1
96,32,56,56,1,1
128,32,56,56,1,1
160,32,56,56,1,1
192,32,56,56,1,1
168,56,56,56,1,1
224,56,56,56,1,1
280,56,56,56,1,1
336,56,56,56,1,1
336,112,56,56,1,1
448,112,56,56,1,1
560,112,56,56,1,1
672,112,56,56,1,1
384,128,56,56,1,1
512,128,56,56,1,1
640,128,56,56,1,1
768,128,56,56,1,1
768,256,56,56,1,1
1024,256,56,56,1,1
1280,256,56,56,1,1
1536,256,56,56,1,1
96,32,112,112,1,1
128,32,112,112,1,1
160,32,112,112,1,1
192,32,112,112,1,1
168,56,112,112,1,1
224,56,112,112,1,1
280,56,112,112,1,1
336,56,112,112,1,1
336,112,112,112,1,1
448,112,112,112,1,1
560,112,112,112,1,1
672,112,112,112,1,1
384,128,112,112,1,1
512,128,112,112,1,1
640,128,112,112,1,1
768,128,112,112,1,1
768,256,112,112,1,1
1024,256,112,112,1,1
1280,256,112,112,1,1
1536,256,112,112,1,1
1,96,7,7,3,3
1,128,7,7,3,3
1,160,7,7,3,3
1,192,7,7,3,3
1,168,7,7,3,3
1,224,7,7,3,3
1,280,7,7,3,3
1,336,7,7,3,3
1,448,7,7,3,3
1,560,7,7,3,3
1,672,7,7,3,3
1,384,7,7,3,3
1,512,7,7,3,3
